loja,cidade,periodo,produto,preco_brl
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Acém/Pá/Peito Bovino Resfriado Friboi Peça/,"25,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,kgCapa de Filé Bovino Resfriado Friboi,"26,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,kgChã de Fora Bovino Resfriado Friboi Peça/,"31,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,kgJerked Beef Ponta,"34,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Agulha kg kgPernil Congelado S/ Osso kg,"21,90"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Frango Congelado,"8,98"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Leite Betânia,"4,75"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,kgLinguiça p/ Churrasco em Gomos Naturaves,"15,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Hambúrguer Misto,"0,69"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Friara 56g cadaBatata Congelada Masterboi 2kg,"19,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Bebida Láctea Pulsi,"6,79"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Sabores 800g cadaAçúcar Dona Mira Cristal Ou Moído,"3,09"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,cadaArroz Agulinha Tipo 1,"4,55"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Urbano 1kg cadaFarinha de Mandioca Da Feira Acafrão Ou,"5,89"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Copioba 1kg cadaFarinha de Trigo Tipo 1 Farina 1kg,"3,35"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Massa Comum Gameleira,"1,99"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Espaguete 400g cadaCreme de Leite,"2,78"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Italac 200g Tp cadaLeite Condensado,"5,48"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Italac 395g Tp cadaPapel Higiênico Familiar Supremo 20m Folha Dupla Leve 12,"9,90"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Pague 11 cadaFralda Descartável Fofura Baby PráticoO MINISTÉRIO DA SAÚ DE ADVERTE: O ALEITAMENTO MATERNO EVITA INFECÇÕES E ALERGIAS E É RECOMENDADO ATÉ OS DOIS ANOS DE IDADE OU,"13,90"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Fugini Sachê,"2,39"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Catchup Tambaú,"6,59"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Molho de Tomate Tambaú Sachê,"1,75"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Café Almofada Dona Lita Tradicional,"12,99"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Leite em Pó Betânia 200g,"7,29"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Achocolatado em Pó Italac Sachê 200g Biscoito Wafer Vitarella Sabores,"2,98"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Bebida Láctea Chokynho,"1,09"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Marajoara 200ml Água Mineral S/ Gás Águas Do,"0,95"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Porto 510ml Refresco Guarathon Tradicional Copo 290ml,"1,28"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Cerveja Império,"2,69"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Pilsen 350ml Sabonete Protex,"2,49"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Fragrâncias Kit Multiuso Uau Cloro/ Desengordurante,"13,90"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Grátis Pinho 500ml Amaciante de Roupas Teiú,"7,29"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Carinho 2 litros Detergente Líquido Zab 500ml,"1,59"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Toalha de Banho Camesa Samba,"19,90"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Sortida Travesseiro Lestespuma Plutão,"19,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,"Fryer Elgin Start Fry 3,5 litros","198,00"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Android Slim HD Led/ HQ,"1.790,00"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,13.10 A 19.10,Touring 175/70r14 R1 88tcada cadacada cadacada cadacada cadacada,"378,00"
