epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8428,1.79782,2.73841,1.32441,0.54672,0.68151,0.58757,0.37845,1.1325,8.8561,1.01564,0.00021671,0.00021671,0.00021671
2,149.988,0.89404,1.09505,0.91959,0.80453,0.70079,0.68577,0.55407,0.73488,1.99826,0.88541,0.00044452,0.00044452,0.00044452
3,233.629,0.74915,0.75571,0.86168,0.88183,0.97112,0.93652,0.76679,0.72302,1.00147,0.88201,0.000666554,0.000666554,0.000666554
4,310.645,0.74727,0.70508,0.86301,0.93936,0.80682,0.835,0.67833,0.75096,0.7818,0.86801,0.000882812,0.000882812,0.000882812
5,403.258,0.76437,0.65958,0.8633,0.89809,0.94181,0.94379,0.791,0.67283,0.86332,0.8671,0.00109329,0.00109329,0.00109329
6,488.236,0.68578,0.59189,0.86105,0.90732,0.97194,0.94646,0.78332,0.67074,0.72634,0.85949,0.001298,0.001298,0.001298
7,561.25,0.83123,0.63657,0.88449,0.82297,0.94488,0.87703,0.67789,0.84378,0.79862,0.89533,0.00149693,0.00149693,0.00149693
8,635.046,0.82429,0.65858,0.87007,0.72674,0.97035,0.77978,0.63806,0.70967,0.89939,0.86139,0.0015226,0.0015226,0.0015226
9,707.734,0.78677,0.62594,0.86126,0.70689,0.95249,0.73895,0.61332,0.68483,1.04292,0.85978,0.00150197,0.00150197,0.00150197
10,783.368,0.72555,0.57797,0.85463,0.82856,0.95276,0.86836,0.73368,0.6391,0.70544,0.84783,0.00148134,0.00148134,0.00148134
11,857.777,0.69336,0.57188,0.84307,0.93121,0.98778,0.96551,0.8304,0.62558,0.62079,0.85754,0.00146071,0.00146071,0.00146071
12,931.23,0.68849,0.5925,0.84899,0.93322,0.9949,0.96483,0.82818,0.63101,0.57687,0.85313,0.00144008,0.00144008,0.00144008
13,1004.25,0.67528,0.52942,0.84489,0.92844,0.99606,0.96324,0.82619,0.5956,0.58212,0.83798,0.00141945,0.00141945,0.00141945
14,1077.32,0.61878,0.54092,0.8332,0.92844,0.99606,0.96324,0.82619,0.5956,0.58212,0.83798,0.00139882,0.00139882,0.00139882
15,1153.28,0.62579,0.50428,0.83629,0.92756,0.99412,0.94683,0.82075,0.58029,0.66456,0.83261,0.00137819,0.00137819,0.00137819
16,1226.36,0.59711,0.48421,0.8249,0.92782,0.9958,0.94992,0.83022,0.55657,0.5615,0.83283,0.00135756,0.00135756,0.00135756
17,1301.1,0.57513,0.45292,0.82574,0.93101,0.99923,0.96266,0.83403,0.56826,0.49999,0.83386,0.00133693,0.00133693,0.00133693
18,1374.72,0.57327,0.44605,0.82072,0.92593,1,0.96623,0.83595,0.56703,0.48207,0.8319,0.0013163,0.0013163,0.0013163
19,1447.34,0.55006,0.43809,0.82657,0.93165,1,0.964,0.85433,0.50627,0.4525,0.82482,0.00129568,0.00129568,0.00129568
20,1524.93,0.59542,0.43077,0.82009,0.93301,0.99897,0.95884,0.82184,0.59204,0.50268,0.83251,0.00127505,0.00127505,0.00127505
21,1597.09,0.58395,0.43651,0.82029,0.93495,1,0.95857,0.83841,0.55028,0.46211,0.82843,0.00125442,0.00125442,0.00125442
22,1671.46,0.54094,0.40977,0.8164,0.93495,1,0.95857,0.83841,0.55028,0.46211,0.82843,0.00123379,0.00123379,0.00123379
23,1744.15,0.55525,0.40309,0.82671,0.93497,1,0.96476,0.86284,0.47948,0.41885,0.82108,0.00121316,0.00121316,0.00121316
24,1818.46,0.54847,0.40792,0.81542,0.9341,1,0.96433,0.85401,0.53488,0.4335,0.82233,0.00119253,0.00119253,0.00119253
25,1892.24,0.51471,0.3958,0.81436,0.93468,1,0.95445,0.83562,0.55352,0.42454,0.82498,0.0011719,0.0011719,0.0011719
26,1965.38,0.52381,0.38908,0.81284,0.93519,1,0.9565,0.8366,0.5206,0.4595,0.83142,0.00115127,0.00115127,0.00115127
27,2041.48,0.53081,0.38749,0.8156,0.93508,1,0.95267,0.83728,0.50294,0.45439,0.82159,0.00113064,0.00113064,0.00113064
28,2115.96,0.51003,0.37925,0.81399,0.93513,1,0.95498,0.84935,0.49382,0.40645,0.81826,0.00111001,0.00111001,0.00111001
29,2191.45,0.50108,0.35989,0.81128,0.93481,1,0.95926,0.84189,0.53828,0.40305,0.82831,0.00108938,0.00108938,0.00108938
