crop_filename,orig_image,class_id,class_name,conf,x1,y1,x2,y2,ocr_text
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9318,1382.9,1018.5,1547.4,1095.4,"35,0"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop2.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9303,1383.9,2200.7,1549.3,2277.0,"29,9"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop3.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9277,623.8,1410.3,789.6,1489.0,"11,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop4.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9205,1006.6,1017.7,1172.0,1095.1,"34,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop5.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9176,1760.6,1409.1,1924.8,1488.2,"14,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop6.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9134,247.8,1410.6,411.7,1488.9,"15,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop7.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9127,1383.7,1410.0,1549.5,1488.4,"34,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop8.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9116,1794.0,1803.2,1918.5,1882.8,"8,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop9.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9115,1004.2,1804.9,1168.3,1883.6,"19,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop10.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9112,272.3,2201.3,399.4,2277.7,"5,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop11.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9101,248.2,1017.0,413.6,1095.1,"23,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop12.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9094,1761.3,1016.3,1926.5,1094.2,"39,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop13.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9091,626.4,1017.3,792.6,1095.2,"24,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop14.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9086,1004.9,1411.2,1168.2,1490.6,"11,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop15.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9064,1044.5,2198.6,1166.4,2277.1,"6,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9053,73.2,1017.8,224.7,1101.2,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop16.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9052,1762.8,2198.5,1923.3,2275.4,"19,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop2.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9052,1241.8,1413.5,1366.3,1495.4,Jerked Beef Ponta Agulha kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop17.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9031,1381.8,1805.7,1547.6,1883.2,"14,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop18.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9025,626.1,1805.4,788.8,1884.1,"13,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop19.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8987,248.2,1805.3,411.8,1883.7,"24,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop3.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8972,466.8,2199.8,628.5,2277.1,Hambúrguer Misto Friara 569
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop20.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8969,656.1,2198.5,785.0,2277.3,"0,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop4.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8926,467.4,1006.7,609.1,1086.0,Músculo Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop5.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8913,829.1,1795.6,993.9,1877.5,Filé de Peito de Frango Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop6.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8899,1591.7,1021.3,1750.9,1101.1,Contra Filé Bovino Resfriado Peça/ Pedaço Kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop7.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8891,1611.8,1813.2,1761.8,1893.6,Frango Resfriado Naturaves kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop8.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8889,59.7,1799.7,231.1,1879.4,Linguiça Defumada Calabresa Perdigão kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop9.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8868,849.8,1010.9,991.9,1089.2,Patinho Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop10.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8842,1222.2,1006.2,1372.0,1108.0,Chã de Dentro Bovino Resfriado Peça Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop11.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8793,1239.5,1791.6,1371.4,1874.4,Asa de Frango Congelada kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop12.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8788,1566.7,1410.1,1754.0,1490.5,Linguiça p/ Churrasco Gomos Naturaves kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop13.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8712,1224.3,2190.9,1367.9,2266.5,Queijo Muçarela Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop14.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8659,439.7,1412.6,613.9,1491.8,Costela Suína Congelada em Tiras kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop15.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8630,860.8,1420.3,991.5,1497.6,Fígado Bovino Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop16.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8600,470.8,1831.2,612.0,1885.4,Peito de Frango Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop17.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8586,835.2,2226.6,1007.0,2278.5,Salsicha p/ Hot Dog Mauricéa kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop18.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8504,97.9,2194.9,226.1,2270.5,Galinha Magra Congelada kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop19.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8418,52.2,1420.0,230.4,1474.7,Costela Bovina Resfriada c/ Osso kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop20.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8357,1589.8,2226.3,1743.8,2275.3,Batata Congelada Uai 2kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop21.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9286,957.7,1708.5,1171.4,1790.1,"298,9"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop22.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9216,1715.1,1709.6,1926.2,1789.8,"278,98"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop23.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9188,657.1,935.0,784.0,1011.1,"4,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop24.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9146,1792.6,1327.2,1921.4,1408.3,"2,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop25.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9125,1004.6,934.4,1169.4,1011.6,"12,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop26.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9116,1794.0,535.7,1919.4,616.4,"5,28"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop27.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9105,1420.6,536.9,1541.8,616.5,"6,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop28.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9094,625.3,536.3,789.9,616.3,"17,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop21.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9092,116.0,930.7,256.1,1009.1,Creme de Leite Italac Tp 200g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop29.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9087,249.6,537.2,413.8,615.7,"15,50"
