product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,01.12,07.12,JUAZEIRO DO NORTE,21.00,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,03.11,09.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,10.11,16.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,17.11,23.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,24.11,30.11,CAMPINA GRANDE,23.50,2
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,06.10,12.10,BRUMADO,25.80,4
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,13.10,19.10,VITÓRIA DA CONQUISTA,25.20,2
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,29.09,05.10,VITÓRIA DA CONQUISTA,25.80,2
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,03.11,06.11,BRUMADO,23.80,2
ACUCAR CRISTAL DONA MIRA 1KG,03.11,06.11,BRUMADO,3.80,2
ACUCAR TRITURADO ALEGRE 1KG,01.12,07.12,CAMPINA GRANDE,2.80,2
ACUCAR TRITURADO ALEGRE 1KG,03.11,09.11,CAMPINA GRANDE,3.80,2
ACUCAR TRITURADO ALEGRE 1KG,17.11,23.11,CAMPINA GRANDE,2.80,2
ACUCAR TRITURADO ALEGRE 1KG,24.11,30.11,CAMPINA GRANDE,2.80,2
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,03.11,06.11,BRUMADO,0.78,2
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,06.10,12.10,JUAZEIRO DO NORTE,0.00,2
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,13.10,19.10,BRUMADO,0.00,2
AGUA MINERAL S/GAS STERBOM 510M!,01.12,07.12,CAMPINA GRANDE,0.88,2
AGUA MINERAL S/GAS STERBOM 510M!,10.11,16.11,CAMPINA GRANDE,0.20,2
AGUA MINERAL S/GAS STERBOM 510M!,17.11,23.11,CAMPINA GRANDE,0.88,2
AGUA MINERAL S/GAS STERBOM 510ML,06.10,12.10,CAMPINA GRANDE,0.00,2
AGUA MINERAL S/GAS STERBOM 510ML,24.11,30.11,CAMPINA GRANDE,0.80,2
AGUA MINERAL STERBOM 510M!,03.11,09.11,CAMPINA GRANDE,0.00,3
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,03.11,06.11,BRUMADO,4.00,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,01.12,07.12,CAMPINA GRANDE,2.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,10.11,16.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,17.11,23.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,03.11,09.11,CAMPINA GRANDE,35.00,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,06.10,12.10,JOÃO PESSOA,3.20,2
BATATA CONGELADA MASTERBOI 2KG,13.10,19.10,BRUMADO,19.30,2
BATATA CONGELADA UAI 2KG,01.12,07.12,CAMPINA GRANDE,19.00,3
BATATA CONGELADA UAI 2KG,03.11,06.11,BRUMADO,19.00,2
BATATA CONGELADA UAI 2KG,03.11,09.11,CAMPINA GRANDE,19.00,3
BATATA CONGELADA UAI 2KG,06.10,12.10,BRUMADO,22.80,4
BATATA CONGELADA UAI 2KG,24.11,30.11,CAMPINA GRANDE,19.00,3
CARRE SUINO CONGELADO KG,01.12,07.12,JUAZEIRO DO NORTE,14.80,3
CARRE SUINO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,15.80,3
CARRE SUINO CONGELADO KG,06.10,12.10,BRUMADO,15.80,5
CARRE SUINO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,14.80,3
CARRE SUINO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,14.80,3
CARRE SUINO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,14.00,3
CHA DE DENTRO BOVINO RESFRIADO PECA PEDACO KG,03.11,06.11,BRUMADO,35.00,2
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,01.12,07.12,JUAZEIRO DO NORTE,34.80,3
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,03.11,09.11,CAMPINA GRANDE,44.50,2
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,17.11,23.11,JUAZEIRO DO NORTE,34.80,3
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,24.11,30.11,JUAZEIRO DO NORTE,34.00,3
CREME DE LEITE ITALAC 2009,01.12,07.12,CAMPINA GRANDE,2.00,3
CREME DE LEITE ITALAC 2009,03.11,09.11,CAMPINA GRANDE,2.80,3
CREME DE LEITE ITALAC 2009,24.11,30.11,CAMPINA GRANDE,2.00,3
CREME DE LEITE ITALAC 200G TP,06.10,12.10,BRUMADO,2.80,4
CREME DE LEITE ITALAC 200G TP,13.10,19.10,BRUMADO,2.00,2
CREME DE LEITE ITALAC TP 2009,10.11,16.11,CAMPINA GRANDE,2.80,3
CREME DE LEITE ITALAC TP 2009,17.11,23.11,JUAZEIRO DO NORTE,2.48,3
CREME DE LEITE ITALAC TP 200G,03.11,06.11,BRUMADO,2.80,2
LEITE CONDENSADO ITALAC 3959,01.12,07.12,CAMPINA GRANDE,4.80,3
LEITE CONDENSADO ITALAC 3959,03.11,06.11,BRUMADO,5.28,2
LEITE CONDENSADO ITALAC 3959,03.11,09.11,CAMPINA GRANDE,5.80,3
LEITE CONDENSADO ITALAC 3959,06.10,12.10,JOÃO PESSOA,5.08,5
LEITE CONDENSADO ITALAC 3959,24.11,30.11,CAMPINA GRANDE,5.28,3
LEITE CONDENSADO ITALAC TP 3959,17.11,23.11,CAMPINA GRANDE,4.80,3
LEITE EM PO BETANIA 200G,13.10,19.10,BRUMADO,7.20,2
LEITE EM PO INTEGRAL ITALAC SACHE 2009,01.12,07.12,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 2009,10.11,16.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,03.11,06.11,BRUMADO,6.80,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,03.11,09.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,06.10,12.10,JOÃO PESSOA,7.80,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,17.11,23.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,24.11,30.11,CAMPINA GRANDE,6.00,3
LEITE EM PO INTEGRAL ITALAC SACHE 200G,29.09,05.10,VITÓRIA DA CONQUISTA,7.80,2
LINGUICA CALABRESA DEFUMADA PERDIGAO KG,01.12,07.12,CAMPINA GRANDE,25.50,2
LINGUICA DEFUMADA CALABRESA FINA NATURAVES KG,06.10,12.10,BRUMADO,16.50,2
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,03.11,06.11,BRUMADO,24.89,2
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,10.11,16.11,CAMPINA GRANDE,25.80,2
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,03.11,09.11,CAMPINA GRANDE,17.40,3
