image,product_crop,product_ocr,product_conf,product_x1,product_y1,product_x2,product_y2,price_crop,price_ocr,price_conf,price_x1,price_y1,price_x2,price_y2,price_brl,price_raw,unit
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop1.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,0.9053,73.2,1017.8,224.7,1101.2,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop11.png,"23,80",0.9101,248.2,1017.0,413.6,1095.1,23.80,"23,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop2.png,Jerked Beef Ponta Agulha kg,0.9052,1241.8,1413.5,1366.3,1495.4,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop7.png,"34,80",0.9127,1383.7,1410.0,1549.5,1488.4,34.80,"34,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop3.png,Hambúrguer Misto Friara 569,0.8972,466.8,2199.8,628.5,2277.1,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop20.png,"0,8",0.8969,656.1,2198.5,785.0,2277.3,0.80,"0,80",g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop4.png,Músculo Bovino Resfriado Peça/ Pedaço kg,0.8926,467.4,1006.7,609.1,1086.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop13.png,"24,80",0.9091,626.4,1017.3,792.6,1095.2,24.80,"24,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop5.png,Filé de Peito de Frango Congelado kg,0.8913,829.1,1795.6,993.9,1877.5,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop9.png,"19,",0.9115,1004.2,1804.9,1168.3,1883.6,19.00,"19,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop6.png,Contra Filé Bovino Resfriado Peça/ Pedaço Kg,0.8899,1591.7,1021.3,1750.9,1101.1,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop12.png,"39,80",0.9094,1761.3,1016.3,1926.5,1094.2,39.80,"39,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop7.png,Frango Resfriado Naturaves kg,0.8891,1611.8,1813.2,1761.8,1893.6,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop8.png,"8,",0.9116,1794.0,1803.2,1918.5,1882.8,8.00,"8,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop8.png,Linguiça Defumada Calabresa Perdigão kg,0.8889,59.7,1799.7,231.1,1879.4,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop19.png,"24,89",0.8987,248.2,1805.3,411.8,1883.7,24.89,"24,89",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop9.png,Patinho Bovino Resfriado Peça/ Pedaço kg,0.8868,849.8,1010.9,991.9,1089.2,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop4.png,"34,80",0.9205,1006.6,1017.7,1172.0,1095.1,34.80,"34,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop10.png,Chã de Dentro Bovino Resfriado Peça Pedaço kg,0.8842,1222.2,1006.2,1372.0,1108.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop1.png,"35,0",0.9318,1382.9,1018.5,1547.4,1095.4,35.00,"35,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop11.png,Asa de Frango Congelada kg,0.8793,1239.5,1791.6,1371.4,1874.4,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop17.png,"14,80",0.9031,1381.8,1805.7,1547.6,1883.2,14.80,"14,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop12.png,Linguiça p/ Churrasco Gomos Naturaves kg,0.8788,1566.7,1410.1,1754.0,1490.5,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop5.png,"14,8",0.9176,1760.6,1409.1,1924.8,1488.2,14.80,"14,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop13.png,Queijo Muçarela Peça/ Pedaço kg,0.8712,1224.3,2190.9,1367.9,2266.5,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop2.png,"29,9",0.9303,1383.9,2200.7,1549.3,2277.0,29.90,"29,90",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop14.png,Costela Suína Congelada em Tiras kg,0.8659,439.7,1412.6,613.9,1491.8,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop3.png,"11,50",0.9277,623.8,1410.3,789.6,1489.0,11.50,"11,50",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop15.png,Fígado Bovino Congelado kg,0.8630,860.8,1420.3,991.5,1497.6,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop14.png,"11,",0.9086,1004.9,1411.2,1168.2,1490.6,11.00,"11,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop16.png,Peito de Frango Congelado kg,0.8600,470.8,1831.2,612.0,1885.4,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop18.png,"13,",0.9025,626.1,1805.4,788.8,1884.1,13.00,"13,00",kg
