product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
4] - . = (TE QU PÓ TR SBT,CAMPINA GRANDE,01.12,07.12,1,6.00,6.00,6.00
4] - . = (TE QU PÓ TR SBT,JOÃO PESSOA,01.12,07.12,1,6.00,6.00,6.00
4] - . = UAI A E PÓ Ç,CAMPINA GRANDE,17.11,23.11,1,6.00,6.00,6.00
4] - . = UAI A E PÓ Ç,JOÃO PESSOA,17.11,23.11,1,6.00,6.00,6.00
ACHOCOLATADO EM PÓ ITALAC SACHÊ 200G,VITÓRIA DA CONQUISTA,13.10,19.10,1,2.80,2.80,2.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,CAMPINA GRANDE,01.12,07.12,1,24.50,24.50,24.50
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,CAMPINA GRANDE,03.11,09.11,1,24.80,24.80,24.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,CAMPINA GRANDE,10.11,16.11,1,24.80,24.80,24.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JOÃO PESSOA,01.12,07.12,1,24.50,24.50,24.50
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JOÃO PESSOA,03.11,09.11,1,24.80,24.80,24.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JOÃO PESSOA,10.11,16.11,1,24.80,24.80,24.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JUAZEIRO DO NORTE,01.12,07.12,1,21.00,21.00,21.00
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JUAZEIRO DO NORTE,03.11,09.11,1,23.80,23.80,23.80
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,JUAZEIRO DO NORTE,10.11,16.11,1,23.80,23.80,23.80
ACÉM/ PÁ/ PEITO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,BRUMADO,03.11,06.11,1,23.80,23.80,23.80
ACÉM/ PÁ/ PEITO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,JUAZEIRO DO NORTE,10.11,16.11,1,25.80,25.80,25.80
ACÉM/ PÁ/ PEITO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,25.80,25.80,25.80
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,CAMPINA GRANDE,17.11,23.11,1,24.50,24.50,24.50
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,CAMPINA GRANDE,24.11,30.11,1,23.50,23.50,23.50
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,JOÃO PESSOA,17.11,23.11,1,24.50,24.50,24.50
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,JOÃO PESSOA,24.11,30.11,1,23.50,23.50,23.50
ACÉM/PÁ/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,17.11,23.11,1,23.80,23.80,23.80
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/ PEDAÇO KG,BRUMADO,13.10,19.10,1,25.80,25.80,25.80
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/ PEDAÇO KG,JOÃO PESSOA,06.10,12.10,1,29.00,29.00,29.00
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/ PEDAÇO KG,JUAZEIRO DO NORTE,06.10,12.10,1,26.00,26.00,26.00
