product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
4] - . = (TE QU PÓ TR SBT,01.12,07.12,CAMPINA GRANDE,6.00,2
4] - . = UAI A E PÓ Ç,17.11,23.11,CAMPINA GRANDE,6.00,2
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,01.12,07.12,JUAZEIRO DO NORTE,21.00,3
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,03.11,09.11,JUAZEIRO DO NORTE,23.80,3
ACÉM/ PÁ/ PEITO BOVINO CONGELADO C/ OSSO KG,10.11,16.11,JUAZEIRO DO NORTE,23.80,3
ACÉM/ PÁ/ PEITO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,03.11,06.11,BRUMADO,23.80,2
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,17.11,23.11,CAMPINA GRANDE,24.50,2
ACÉM/PÁ/PEITO BOVINO CONGELADO C/ OSSO KG,24.11,30.11,CAMPINA GRANDE,23.50,2
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/ PEDAÇO KG,06.10,12.10,JUAZEIRO DO NORTE,26.00,2
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/ PEDAÇO KG,13.10,19.10,VITÓRIA DA CONQUISTA,25.20,2
ACÉM/PÁ/PEITO BOVINO RESFRIADO FRIBOI PEÇA/PEDAÇO KG,06.10,12.10,BRUMADO,25.80,2
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,03.11,06.11,BRUMADO,4.00,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,01.12,07.12,CAMPINA GRANDE,2.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,10.11,16.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,17.11,23.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,03.11,09.11,CAMPINA GRANDE,35.00,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,06.10,12.10,JOÃO PESSOA,3.20,2
ASA DE FRANGO CONGELADA KG,01.12,07.12,JUAZEIRO DO NORTE,12.00,3
ASA DE FRANGO CONGELADA KG,03.11,06.11,BRUMADO,14.80,2
ASA DE FRANGO CONGELADA KG,03.11,09.11,CAMPINA GRANDE,12.50,2
ASA DE FRANGO CONGELADA KG,17.11,23.11,CAMPINA GRANDE,12.00,2
ASA DE FRANGO CONGELADA KG,24.11,30.11,CAMPINA GRANDE,12.80,2
ASA DE FRANGO CONGELADO KG,10.11,16.11,CAMPINA GRANDE,12.90,2
AZEITE PORTUGUÊS EXTRA VIRGEM ANDORINHA 500ML,03.11,06.11,BRUMADO,33.80,2
AÇÚCAR CRISTAL DONA MIRA 1KG,03.11,06.11,BRUMADO,3.80,2
AÇÚCAR TRITURADO ALEGRE 1KG,01.12,07.12,CAMPINA GRANDE,2.80,2
AÇÚCAR TRITURADO ALEGRE 1KG,03.11,09.11,CAMPINA GRANDE,3.80,2
AÇÚCAR TRITURADO ALEGRE 1KG,17.11,23.11,CAMPINA GRANDE,2.80,2
AÇÚCAR TRITURADO ALEGRE 1KG,24.11,30.11,CAMPINA GRANDE,2.80,2
BACON MANTA PERDIGÃO KG,01.12,07.12,CAMPINA GRANDE,27.89,2
BACON MANTA PERDIGÃO KG,03.11,09.11,CAMPINA GRANDE,27.00,2
BACON MANTA PERDIGÃO KG,10.11,16.11,CAMPINA GRANDE,27.59,2
BACON MANTA PERDIGÃO KG,17.11,23.11,CAMPINA GRANDE,27.00,2
BALA DE GELATINA FINI SABORES 809,06.10,12.10,JOÃO PESSOA,6.00,2
BALA DE GELATINA FINI SABORES 80G,06.10,12.10,CAMPINA GRANDE,6.20,2
BATATA CONGELADA MASTERBOI 2KG,13.10,19.10,BRUMADO,19.30,2
BATATA CONGELADA UAI 2KG,01.12,07.12,CAMPINA GRANDE,19.00,3
BATATA CONGELADA UAI 2KG,03.11,06.11,BRUMADO,19.00,2
BATATA CONGELADA UAI 2KG,03.11,09.11,CAMPINA GRANDE,19.00,3
BATATA CONGELADA UAI 2KG,06.10,12.10,BRUMADO,22.80,4
BATATA CONGELADA UAI 2KG,24.11,30.11,CAMPINA GRANDE,19.00,3
BEBIDA LÁCTEA CHOKYNHO MARAJOARA 200ML,13.10,19.10,VITÓRIA DA CONQUISTA,1.00,2
BISCOITO CREAM CRACKER VITARELLA 350G,06.10,12.10,CAMPINA GRANDE,3.00,3
BISCOITO WAFER VITARELLA SABORES 80G,06.10,12.10,CAMPINA GRANDE,1.20,3
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,10.11,16.11,CAMPINA GRANDE,13.80,2
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 2509,17.11,23.11,CAMPINA GRANDE,13.90,2
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 250G,03.11,09.11,CAMPINA GRANDE,14.50,2
CAFÉ BAHIA 2509,03.11,06.11,BRUMADO,12.80,2
CAFÉ SANTA CLARA ALMOFADA OU A VÁCUO 2509,06.10,12.10,CAMPINA GRANDE,16.00,3
CAFÉ TRADICIONAL SANTA CLARA 250G,01.12,07.12,CAMPINA GRANDE,13.80,2
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA A VÁCUO KG,06.10,12.10,VITÓRIA DA CONQUISTA,26.80,2
CAPA DE FILÉ BOVINO RESFRIADO PEÇA A VÁCUO KG,24.11,30.11,JUAZEIRO DO NORTE,26.00,3
CARNE MOÍDA BOVINA CONGELADA FORTBOI 5009,03.11,09.11,CAMPINA GRANDE,7.80,2
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,01.12,07.12,CAMPINA GRANDE,7589.00,2
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,17.11,23.11,CAMPINA GRANDE,78.00,2
CARNE SUÍNA PURURUCA KG,03.11,06.11,BRUMADO,15.50,2
CARRÉ SUÍNO CONGELADO KG,01.12,07.12,JUAZEIRO DO NORTE,14.80,3
CARRÉ SUÍNO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,15.80,3
CARRÉ SUÍNO CONGELADO KG,06.10,12.10,BRUMADO,15.80,5
CARRÉ SUÍNO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,14.80,3
CARRÉ SUÍNO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,14.80,3
CARRÉ SUÍNO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,14.00,3
CERVEJA IMPÉRIO PILSEN 350M!L,06.10,12.10,BRUMADO,2.00,3
CERVEJA IMPÉRIO PILSEN 350ML,13.10,19.10,VITÓRIA DA CONQUISTA,2.80,2
CHÃ DE DENTRO BOVINO RESFRIADO PEÇA PEDAÇO KG,03.11,06.11,BRUMADO,35.00,2
CHÃ DE DENTRO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,01.12,07.12,JUAZEIRO DO NORTE,34.80,3
CHÃ DE DENTRO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,03.11,09.11,CAMPINA GRANDE,44.50,2
CHÃ DE DENTRO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,17.11,23.11,JUAZEIRO DO NORTE,34.80,3
CHÃ DE DENTRO BOVINO RESFRIADO PEÇA/ PEDAÇO KG,24.11,30.11,JUAZEIRO DO NORTE,34.00,3
CONTRA FILÉ BOVINO RESFRIADO PEÇA/ PEDAÇO KG,03.11,06.11,BRUMADO,39.80,2
COSTELA BOVINA CONGELADA KG,03.11,09.11,JUAZEIRO DO NORTE,19.80,3
COSTELA BOVINA CONGELADA KG,10.11,16.11,JUAZEIRO DO NORTE,19.80,3
COSTELA BOVINA CONGELADA KG,17.11,23.11,CAMPINA GRANDE,15.80,3
COSTELA BOVINA CONGELADA KG,24.11,30.11,CAMPINA GRANDE,15.90,3
COSTELA BOVINA RESFRIADA C/ OSSO KG,03.11,06.11,BRUMADO,15.80,2
COSTELA SUÍNA CONGELADA EM TIRAS KG,03.11,06.11,BRUMADO,11.50,2
COSTELA SUÍNA EM TIRAS CONGELADA KG,01.12,07.12,JUAZEIRO DO NORTE,10.00,3
COSTELA SUÍNA EM TIRAS CONGELADA KG,03.11,09.11,JUAZEIRO DO NORTE,11.30,3
COSTELA SUÍNA EM TIRAS CONGELADA KG,06.10,12.10,CAMPINA GRANDE,11.00,2
COSTELA SUÍNA EM TIRAS CONGELADA KG,10.11,16.11,CAMPINA GRANDE,11.80,3
COSTELA SUÍNA EM TIRAS CONGELADA KG,17.11,23.11,JUAZEIRO DO NORTE,11.00,3
COSTELA SUÍNA EM TIRAS CONGELADA KG,24.11,30.11,JUAZEIRO DO NORTE,11.40,3
COXA / SOBRECOXA DE FRANGO CONGELADA KG,24.11,30.11,CAMPINA GRANDE,9.80,2
COXA/ SOBRECOXA DE FRANGO CONGELADA KG,01.12,07.12,CAMPINA GRANDE,9.80,2
COXA/ SOBRECOXA DE FRANGO CONGELADA KG,03.11,09.11,JUAZEIRO DO NORTE,9.00,3
COXA/ SOBRECOXA DE FRANGO CONGELADA KG,10.11,16.11,JUAZEIRO DO NORTE,8.00,3
CREME DE LEITE ITALAC 2009,01.12,07.12,CAMPINA GRANDE,2.00,3
CREME DE LEITE ITALAC 2009,03.11,09.11,CAMPINA GRANDE,2.80,3
CREME DE LEITE ITALAC 2009,24.11,30.11,CAMPINA GRANDE,2.00,3
CREME DE LEITE ITALAC 200G TP,06.10,12.10,BRUMADO,2.80,4
CREME DE LEITE ITALAC 200G TP,13.10,19.10,BRUMADO,2.00,2
CREME DE LEITE ITALAC TP 2009,10.11,16.11,CAMPINA GRANDE,2.80,3
CREME DE LEITE ITALAC TP 2009,17.11,23.11,JUAZEIRO DO NORTE,2.48,3
CREME DE LEITE ITALAC TP 200G,03.11,06.11,BRUMADO,2.80,2
CREME DENTAL COLGATE MÁXIMA PROTEÇÃO 180G C/3,06.10,12.10,JOÃO PESSOA,18.00,2
CUPIM BOVINO CONGELADO FRIBOI KG,06.10,12.10,JUAZEIRO DO NORTE,31.00,3
CUPIM BOVINO CONGELADO KG,01.12,07.12,CAMPINA GRANDE,29.80,3
CUPIM BOVINO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,29.80,3
CUPIM BOVINO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,29.80,3
CUPIM BOVINO CONGELADO KG,17.11,23.11,CAMPINA GRANDE,29.50,3
CUPIM BOVINO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,29.80,3
DESINFETANTE URCA 5 LITROS,06.10,12.10,CAMPINA GRANDE,9.00,2
DESODORANTE AEROSSOL ABOVE 90G TIPOS,29.09,05.10,VITÓRIA DA CONQUISTA,5.02,2
DESODORANTE AEROSSOL MONANGE 90G,06.10,12.10,JOÃO PESSOA,1.00,2
E PU ) ER NL : A O O,24.11,30.11,CAMPINA GRANDE,6.00,2
FARINHA DE TRIGO DONA MARIA 25KG,01.12,07.12,CAMPINA GRANDE,85.00,2
FARINHA DE TRIGO DONA MARIA 25KG,24.11,30.11,CAMPINA GRANDE,85.00,2
FARINHA DE TRIGO ESPECIAL ROSA BRANCA 25KG,03.11,09.11,CAMPINA GRANDE,88.00,2
FARINHA DE TRIGO ESPECIAL ROSA BRANCA 25KG,10.11,16.11,CAMPINA GRANDE,88.00,2
FARINHA DE TRIGO ESPECIAL ROSA BRANCA 25KG,17.11,23.11,CAMPINA GRANDE,88.90,2
FARINHA DE TRIGO FINNA TRADICIONAL SEM FERMENTO 1KG,03.11,06.11,BRUMADO,4.18,2
FARINHA DE TRIGO TIPO 1 ROSA BRANCA 1KG,17.11,23.11,CAMPINA GRANDE,3.00,2
FEIJÃO CARIOCA TIPO 1 TURQUESA 1KG,06.10,12.10,CAMPINA GRANDE,7.20,2
FEIJÃO CARIOCA VIDA CORES 1KG,03.11,06.11,BRUMADO,5.80,2
FILÉ DE PEITO DE FRANGO CONGELADO KG,03.11,06.11,BRUMADO,19.00,2
FILÉ DE PEITO DE FRANGO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,16.00,3
FILÉ DE PEITO DE FRANGO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,16.80,3
FILÉ DE PEITO DE FRANGO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,16.50,3
FILÉ DE PEITO DE FRANGO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,16.50,3
FLOCÃO DE MILHO FORTEMILHO 4009,01.12,07.12,CAMPINA GRANDE,0.88,2
FLOCÃO DE MILHO FORTEMILHO 4009,03.11,09.11,CAMPINA GRANDE,0.80,2
FLOCÃO DE MILHO FORTEMILHO 4009,17.11,23.11,CAMPINA GRANDE,0.83,2
FLOCÃO DE MILHO PINDORAMA 5009,29.09,05.10,VITÓRIA DA CONQUISTA,1.00,2
FLOCÃO DE MILHO REI DE OURO 500G,10.11,16.11,CAMPINA GRANDE,0.80,2
FLOCÃO DE MILHO SÃO BRAZ 500G,24.11,30.11,CAMPINA GRANDE,1.80,2
