product_norm,branch,num_periods,num_vezes_mais_barata,media_preco
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,4,4,23.30
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,5,1,24.42
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,5,1,24.42
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,VITÓRIA DA CONQUISTA,2,2,25.50
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,3,2,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JUAZEIRO DO NORTE,1,0,26.00
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JOÃO PESSOA,1,0,29.00
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,CAMPINA GRANDE,1,0,29.90
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,BRUMADO,1,1,23.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,JUAZEIRO DO NORTE,2,2,25.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,VITÓRIA DA CONQUISTA,1,0,25.80
ACUCAR BAIANO CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,1,1,3.32
ACUCAR BAIANO CRISTAL OU REFINADO 1KG,BRUMADO,1,1,3.39
ACUCAR CRISTAL CAETE 1KG,JUAZEIRO DO NORTE,3,3,3.11
ACUCAR CRISTAL DONA MIRA 1KG,BRUMADO,2,2,3.40
ACUCAR CRISTAL DONA MIRA 1KG,VITÓRIA DA CONQUISTA,1,1,3.80
ACUCAR CRISTAL VALIOSO 1KG,JUAZEIRO DO NORTE,2,2,3.50
ACUCAR DONA MIRA CRISTAL OU MOIDO 1KG,VITÓRIA DA CONQUISTA,1,1,3.00
ACUCAR PADIM CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,1,1,3.59
ACUCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,4,4,3.19
ACUCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,4,4,3.19
ACUCAR VIDA CRISTAL OU REFINADO 1KG,BRUMADO,1,1,3.00
"AGUA MINERAL DIAS D'AVILA S/GAS 1,5 LITRO",BRUMADO,1,1,2.18
"AGUA MINERAL DIAS D'AVILA S/GAS 1,9 LITRO",VITÓRIA DA CONQUISTA,1,1,2.08
AGUA MINERAL S! GAS STERBOM 510ML,JUAZEIRO DO NORTE,1,1,0.80
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,BRUMADO,2,2,0.86
