product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,01.12,07.12,JUAZEIRO DO NORTE,21.00,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,03.11,09.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,10.11,16.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,17.11,23.11,JUAZEIRO DO NORTE,23.80,3
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,24.11,30.11,CAMPINA GRANDE,23.50,2
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,06.10,12.10,BRUMADO,25.80,4
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,13.10,19.10,VITÓRIA DA CONQUISTA,25.20,2
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,29.09,05.10,VITÓRIA DA CONQUISTA,25.80,2
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,03.11,06.11,BRUMADO,23.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,01.12,07.12,CAMPINA GRANDE,2.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,10.11,16.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO RAMPINELLI 1KG,17.11,23.11,CAMPINA GRANDE,3.80,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,03.11,09.11,CAMPINA GRANDE,35.00,2
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,06.10,12.10,JOÃO PESSOA,3.20,2
