image,product_crop,product_ocr,product_conf,product_x1,product_y1,product_x2,product_y2,price_crop,price_ocr,price_conf,price_x1,price_y1,price_x2,price_y2,price_brl,price_raw,unit,branch,period_start,period_end,product_norm
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_product_text_crop1.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,0.9053,73.2,1017.8,224.7,1101.2,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1_price_crop11.png,"23,80",0.9101,248.2,1017.0,413.6,1095.1,23.80,"23,80",kg,BRUMADO,03.11,06.11,ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop41.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/Pedaço kg,0.8911,61.1,998.9,233.2,1100.7,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop40.png,"25,80",0.9276,240.8,1017.6,406.3,1094.7,25.80,"25,80",kg,BRUMADO,06.10,12.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop44.png,Arroz Parboilizado Ou Branco Dona Ana 1kg,0.8882,70.5,2203.1,231.4,2278.4,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop45.png,"3,2",0.9176,262.5,2197.9,395.3,2275.0,3.20,"3,20",kg,BRUMADO,06.10,12.10,ARROZ PARBOILIZADO OU BRANCO DONA ANA 1KG
BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1.png,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_product_text_crop81.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/ Pedaço kg,0.9053,44.6,1017.1,234.5,1095.5,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_price_crop80.png,"25,80",0.9312,241.1,1017.8,405.9,1094.4,25.80,"25,80",kg,BRUMADO,13.10,19.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1.png,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_product_text_crop85.png,Alcatra c/ Maminha Bovina Resfriada Friboi Peça/Pedaço kg,0.8926,1181.6,1017.1,1373.4,1097.2,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_price_crop82.png,"35,90",0.9236,1381.0,1017.9,1546.0,1093.7,35.90,"35,90",kg,BRUMADO,13.10,19.10,ALCATRA C/MAMINHA BOVINA RESFRIADA FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1.png,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_product_text_crop91.png,Arroz Parboilizado Kika Tipo 1 1kg,0.8708,1206.4,1813.9,1368.8,1869.6,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p1_price_crop92.png,3,0.9082,1408.8,1802.6,1533.2,1881.3,3.00,"3,00",kg,BRUMADO,13.10,19.10,ARROZ PARBOILIZADO KIKA TIPO 1 1KG
BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p2.png,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p2_product_text_crop105.png,Amaciante de Roupas Teiú Fragrâncias 2 litros,0.8947,1209.9,1330.0,1376.6,1409.4,BRASIL ATACAREJO - BRUMADO 13.10 A 19.10_p2_price_crop115.png,"7,8",0.8982,1395.5,1323.5,1526.7,1400.8,7.80,"7,80",l,BRUMADO,13.10,19.10,AMACIANTE DE ROUPAS TEIU FRAGRANCIAS 2 LITROS
BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p1.png,BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p1_product_text_crop123.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/Pedaço kg,0.8890,60.1,998.8,232.7,1101.0,BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p1_price_crop119.png,"25,80",0.9278,240.9,1017.3,406.1,1094.5,25.80,"25,80",kg,BRUMADO,29.09,05.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p2.png,BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p2_product_text_crop153.png,Amaciante p/ Roupa Ypê 2 litros,0.8456,1582.5,1339.0,1759.6,1393.2,BRASIL ATACAREJO - BRUMADO 29.09 A 05.10_p2_price_crop156.png,"9,20.",0.8842,1780.2,1324.6,1915.3,1400.4,9.20,"9,20",l,BRUMADO,29.09,05.10,AMACIANTE P/ROUPA YPE 2 LITROS
BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p1_product_text_crop163.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8843,78.4,1126.2,237.4,1208.7,BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p1_price_crop160.png,"24,50",0.9159,245.3,1137.7,410.1,1212.5,24.50,"24,50",kg,CAMPINA GRANDE,01.12,07.12,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
