image,product_crop,product_ocr,product_conf,product_x1,product_y1,product_x2,product_y2,price_crop,price_ocr,price_conf,price_x1,price_y1,price_x2,price_y2,price_brl,price_raw,unit
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__001.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,0.9053,69.0,1013.0,228.0,1105.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__011.png,"23,50",0.9101,244.0,1013.0,417.0,1099.0,23.50,"23,50",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__002.png,Jerked Beef Ponta Agulha kg,0.9052,1237.0,1409.0,1370.0,1499.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__007.png,"34,50",0.9127,1379.0,1406.0,1553.0,1492.0,34.50,"34,50",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__003.png,Hambúrguer Misto Friara 569,0.8971,462.0,2195.0,632.0,2281.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__020.png,"0,",0.8970,652.0,2194.0,789.0,2281.0,0.00,"0,00",g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__004.png,Músculo Bovino Resfriado Peça/ Pedaço kg,0.8926,463.0,1002.0,613.0,1090.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__013.png,"24,89",0.9090,622.0,1013.0,796.0,1099.0,24.89,"24,89",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__005.png,Filé de Peito de Frango Congelado kg,0.8911,825.0,1791.0,997.0,1881.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__009.png,"19,80",0.9115,1000.0,1800.0,1172.0,1887.0,19.80,"19,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__006.png,Contra Filé Bovino Resfriado Peça/ Pedaço Kg,0.8899,1587.0,1017.0,1754.0,1105.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__012.png,"39,80",0.9094,1757.0,1012.0,1930.0,1098.0,39.80,"39,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__007.png,Frango Resfriado Naturaves kg,0.8891,1607.0,1809.0,1765.0,1897.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__008.png,"8,0",0.9116,1790.0,1799.0,1922.0,1886.0,8.00,"8,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__008.png,Linguiça Defumada Calabresa Perdigão kg,0.8888,55.0,1795.0,235.0,1883.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__019.png,"24,80",0.8986,244.0,1801.0,415.0,1887.0,24.80,"24,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__009.png,Patinho Bovino Resfriado Peça/ Pedaço kg,0.8868,845.0,1006.0,995.0,1093.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__004.png,"34,89",0.9205,1002.0,1013.0,1176.0,1099.0,34.89,"34,89",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__010.png,Chã de Dentro Bovino Resfriado Peça Pedaço kg,0.8842,1218.0,1002.0,1376.0,1112.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__001.png,"35,80",0.9318,1378.0,1014.0,1551.0,1099.0,35.80,"35,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__011.png,Asa de Frango Congelada kg,0.8794,1235.0,1787.0,1375.0,1878.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__017.png,"14,80",0.9031,1377.0,1801.0,1551.0,1887.0,14.80,"14,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__012.png,Linguiça p/ Churrasco Gomos Naturaves kg,0.8788,1562.0,1406.0,1758.0,1494.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__005.png,"14,30",0.9176,1756.0,1405.0,1928.0,1492.0,14.30,"14,30",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__013.png,Queijo Muçarela Peça/ Pedaço kg,0.8712,1220.0,2186.0,1371.0,2270.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__002.png,"29,80",0.9303,1379.0,2196.0,1553.0,2281.0,29.80,"29,80",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__014.png,Costela Suína Congelada em Tiras kg,0.8659,435.0,1408.0,617.0,1495.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__003.png,"11,0",0.9277,619.0,1406.0,793.0,1493.0,11.00,"11,00",kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__015.png,Fígado Bovino Congelado kg,0.8631,856.0,1416.0,995.0,1501.0,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__014.png,"11,80",0.9085,1000.0,1407.0,1172.0,1494.0,11.80,"11,80",kg
