image,product_crop,product_ocr,product_conf,product_x1,product_y1,product_x2,product_y2,price_crop,price_ocr,price_conf,price_x1,price_y1,price_x2,price_y2,price_brl,price_raw,unit
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop1.png,Chã de Dentro Bovino Resfriado Peça/ Pedaço kg,0.9153,1216.2,1130.6,1371.6,1214.0,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop1.png,"39,5",0.9229,1379.6,1136.9,1548.3,1213.7,39.50,"39,50",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop2.png,Filé de Peito de Frango Congelado kg,0.9143,1204.7,1563.3,1368.7,1644.1,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop10.png,"16,8",0.9102,1380.2,1563.7,1545.0,1640.9,16.80,"16,80",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop3.png,Carne Moída Bovina Congelada Fortboi 500g,0.9035,54.2,1563.9,231.5,1646.2,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop5.png,78.,0.9145,259.8,1563.0,398.7,1640.6,78.00,"78,00",l
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop4.png,Acém/Pá/Peito Bovino Congelado c/ Osso kg,0.8981,834.0,1132.0,995.7,1217.4,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop3.png,"24,50",0.9182,1003.3,1137.7,1169.8,1214.5,24.50,"24,50",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop5.png,Costela Suína em Tiras Congelada kg,0.8946,839.0,1563.5,994.9,1644.4,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop14.png,"11,3",0.8983,1003.5,1563.8,1166.9,1641.4,11.30,"11,30",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop6.png,Linguiça Mista em Gomos p/ Churrasco Friato kg,0.8913,437.8,1989.3,618.8,2070.7,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop9.png,"15,",0.9102,625.0,1992.0,790.0,2068.5,15.00,"15,00",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop7.png,Costela Bovina Congelada kg,0.8856,1613.6,1138.8,1747.2,1195.0,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop4.png,"15,80",0.9163,1761.2,1134.6,1927.6,1213.3,15.80,"15,80",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop8.png,Músculo Bovino Resfriado Peça/ Pedaço kg,0.8766,476.8,1139.4,619.2,1220.2,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop7.png,"27,50",0.9129,626.1,1137.9,792.9,1213.0,27.50,"27,50",kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop9.png,Feijão Carioca Precioso 1kg,0.8697,1628.7,1992.6,1755.1,2046.9,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop15.png,,0.8901,1784.6,1989.0,1914.1,2066.0,,,kg
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop10.png,Arroz Parboilizado Rampinelli 1kg,0.8678,1208.0,2000.1,1369.5,2056.2,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop13.png,"3,8",0.9017,1399.7,1989.9,1533.8,2067.0,3.80,"3,80",kg
