image,product_ocr,unit,price_brl,price_raw
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,kg,23.50,"23,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Jerked Beef Ponta Agulha kg,kg,34.50,"34,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Hambúrguer Misto Friara 569,g,0.00,"0,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Músculo Bovino Resfriado Peça/ Pedaço kg,kg,24.89,"24,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Filé de Peito de Frango Congelado kg,kg,19.80,"19,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Contra Filé Bovino Resfriado Peça/ Pedaço Kg,kg,39.80,"39,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Frango Resfriado Naturaves kg,kg,8.00,"8,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Linguiça Defumada Calabresa Perdigão kg,kg,24.80,"24,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Patinho Bovino Resfriado Peça/ Pedaço kg,kg,34.89,"34,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Chã de Dentro Bovino Resfriado Peça Pedaço kg,kg,35.80,"35,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Asa de Frango Congelada kg,kg,14.80,"14,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Linguiça p/ Churrasco Gomos Naturaves kg,kg,14.30,"14,30"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Queijo Muçarela Peça/ Pedaço kg,kg,29.80,"29,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Costela Suína Congelada em Tiras kg,kg,11.00,"11,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Fígado Bovino Congelado kg,kg,11.80,"11,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Peito de Frango Congelado kg,kg,13.80,"13,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Salsicha p/ Hot Dog Mauricéa kg,kg,6.80,"6,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Galinha Magra Congelada kg,kg,5.80,"5,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Costela Bovina Resfriada c/ Osso kg,kg,15.50,"15,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,Batata Congelada Uai 2kg,kg,19.50,"19,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Creme de Leite Italac Tp 200g,l,2.80,"2,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Azeite Português Extra Virgem Andorinha 500ml,l,33.00,"33,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Farinha De Trigo Finna Tradicional Sem Fermento 1kg,kg,4.18,"4,18"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Pneu Dunlop Sp Touring 175/65R14 R182T,un,298.00,"298,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Água Mineral s/ Gás Aguas do Porto 510ml,l,0.80,"0,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Manteiga com Sal Natville 500g,l,17.80,"17,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Carne Suína Pururuca kg,kg,15.30,"15,30"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Leite Condensado Italac 3959,l,58.00,"58,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Sabão em Barra Neutro Glicerinado Ypê 160g c/ 5,l,9.00,"9,00"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Açúcar Cristal Dona Mira 1kg,kg,3.80,"3,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Milho Verde Fugini Sachê 170g,l,2.80,"2,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Pneu Dunlop Touring 175/70R13 R1 79T 105/70R13 R1 79T,un,278.90,"278,90"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Leite em Pó Integral Italac Sachê 200g,l,6.80,"6,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Café Bahia 2509,,12.89,"12,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Arroz Agulhinha Tipo 1 Tio Urbano 1kg,kg,4.80,"4,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Feijão Carioca Vida Cores 1kg,kg,5.80,"5,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Leite Longa Vida Integral Betânia 1 litro,l,4.80,"4,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Pão de Forma Tradicional Limiar 400g,l,3.80,"3,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,Massa Comum Petyan 400g,g,1.78,"1,78"
