epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4909,1.52992,2.03887,1.29981,0.77909,0.95231,0.94509,0.67372,0.99966,2.66018,0.9817,0.00038341,0.00038341,0.00038341
2,188.201,0.99576,0.93893,1.0238,0.93635,1,0.99198,0.72847,0.9768,0.953,1.02965,0.000773794,0.000773794,0.000773794
3,272.56,0.96346,0.78867,1.00024,0.83989,1,0.86522,0.6576,0.88992,1.09731,1.03542,0.00115428,0.00115428,0.00115428
4,357.609,0.94562,0.81846,1.01926,0.7251,0.86301,0.88162,0.63447,1.02402,1.01162,1.0451,0.00152486,0.00152486,0.00152486
5,444.072,0.88636,0.7907,0.9821,0.57858,0.63022,0.4877,0.37681,0.98795,2.08301,1.08108,0.00158448,0.00158448,0.00158448
6,528.92,0.92891,0.71049,0.96875,0.55087,0.62738,0.45346,0.36001,1.13006,3.08216,1.21995,0.00156385,0.00156385,0.00156385
7,613.631,0.89014,0.63009,0.95279,0.87017,0.65243,0.70124,0.50374,1.1701,1.33231,1.17559,0.00154323,0.00154323,0.00154323
8,697.302,0.91625,0.60443,0.95948,0.78404,0.61512,0.63635,0.47835,1.14037,3.27006,1.20176,0.0015226,0.0015226,0.0015226
9,781.097,0.93757,0.59981,0.99009,0.85918,0.85773,0.99034,0.7608,0.92856,1.95179,1.06848,0.00150197,0.00150197,0.00150197
10,864.753,0.86756,0.58795,0.9579,0.57312,0.94315,0.92403,0.75746,0.80016,1.81776,1.01753,0.00148134,0.00148134,0.00148134
11,950.018,0.88908,0.59494,0.96275,0.9894,0.98788,0.99008,0.79543,0.78825,0.68224,1.00905,0.00146071,0.00146071,0.00146071
12,1032.22,0.83441,0.57864,0.95816,0.97897,0.99315,0.99089,0.76605,0.90401,0.60243,1.01719,0.00144008,0.00144008,0.00144008
13,1116.67,0.84377,0.54414,0.9503,0.97765,1,0.99007,0.80365,0.76308,0.53971,0.97424,0.00141945,0.00141945,0.00141945
14,1203.39,0.86468,0.5666,0.96851,0.99062,0.99934,0.99253,0.81155,0.7464,0.55554,0.96264,0.00139882,0.00139882,0.00139882
15,1289.1,0.79577,0.52708,0.92453,0.99199,1,0.99377,0.75762,0.83829,0.52735,0.95775,0.00137819,0.00137819,0.00137819
16,1373.79,0.77528,0.51748,0.91817,0.99179,1,0.99315,0.80576,0.75608,0.52138,0.94348,0.00135756,0.00135756,0.00135756
17,1459.78,0.75926,0.50791,0.89977,0.99146,1,0.98904,0.82014,0.69,0.4789,0.93558,0.00133693,0.00133693,0.00133693
18,1545.61,0.76164,0.47796,0.9052,0.99128,1,0.98897,0.7798,0.81203,0.47998,0.95267,0.0013163,0.0013163,0.0013163
19,1628.35,0.75108,0.48185,0.91178,0.99023,1,0.98973,0.82347,0.70925,0.45763,0.93675,0.00129568,0.00129568,0.00129568
